restaurant_external_id,summary,representative_menu,mood_summary,parking_summary,waiting_summary,average_trust_score,has_analysis
kakao_824736542,"안주와 술이 다양하고 맛있다는 평가가 많으며, 신선한 재료와 깔끔한 오픈주방, 넉넉한 양과 합리적인 가격에 대한 만족도가 높습니다. 사장님이 친절하고 음식·술에 신경을 많이 쓴다는 리뷰가 많아 혼술이나 가볍게 술 한두 잔하며 대화하기 좋은 단골 술집으로 언급됩니다.",꽁치김치찌개 | 생맥주 | 하이볼 | 골뱅이무침 | 명란계란말이 | 김치볶음밥 | 두루치기 | 나쵸리브레 | 나폴리탄 | 떡볶이 | 솔티드 아이스크림 | 롱티,"포장마차처럼 가볍지만 운치 있는 분위기이며, 인테리어와 음악 선곡·음량이 좋아 적당히 술 한두 잔 하며 대화하기 좋은 공간으로 언급됩니다. 오픈키친이라 주방이 보이고, 날씨가 좋으면 야외자리도 이용할 수 있다는 리뷰가 있습니다.",,,42.61,True
kakao_306868449,"전과 식사 메뉴 전반이 맛있고 정갈하다는 평이 많으며, 기본 반찬과 계란후라이가 나오는 점심 메뉴가 집밥처럼 가성비 좋다는 리뷰가 있습니다. 사장님이 친절하다는 언급과 재방문 의사가 여러 번 보입니다.",모듬전 | 육전 | 김치찌개 | 제육덮밥 | 한우스지 | 스지곰탕 | 감자전 | 김치전,"가게는 작지만 아늑하고 깨끗하다는 언급이 있으며, 막걸리와 전을 함께 먹기 좋고 학생들 점심 한 끼나 백반 식사로 이용하기 좋다는 리뷰가 있습니다.",,,37.72,True
kakao_1279255339,"짜글이와 두루치기를 중심으로 맛있고 양이 푸짐하다는 평가가 많으며, 공기밥 제공·무한리필, 합리적인 가격대, 친절한 응대에 대한 만족이 자주 언급됩니다. 혼밥, 점심·저녁 식사, 친구와의 방문, 소주 안주로도 찾는 재방문 의사가 높은 성대역 근처 맛집입니다.",짜글이 | 두루치기 | 제육 파김치 짜글이 | 김치부대찌개 짜글이 | 계란찜 | 쭈꾸미 | 돼지김치 짜글이 | 파제육 | 깻잎돼지두루치기 | 볶음밥 | 화산계란찜,"가게가 조용하고 아늑하며 분위기가 좋아 데이트나 혼밥하기 좋다는 언급이 있고, 내부가 깔끔하다는 평가가 있습니다. 친구와 식사하거나 소주 안주로 즐기기에도 좋다는 리뷰가 있습니다.",버스정류소가 가깝고 공영주차장이 도보 2분 거리에 있으며 1시간 무료라는 언급이 있습니다. 고가 아래 공영주차장도 도보 2분 거리로 언급됩니다.,,34.57,True
kakao_762026624,"김밥 속재료가 푸짐하고 한 줄로도 든든하다는 평이 많으며, 묵은지참치김밥과 치즈김밥, 멸치·멸추김밥 등이 맛있다는 리뷰가 반복됩니다. 사장님이 친절하다는 언급도 많고, 가격은 약간 올랐다는 의견이 있습니다.",매운어묵김밥 | 묵은지참치김밥 | 치즈김밥 | 멸추김밥 | 멸치김밥,,,,22.72,True
kakao_1676208114,"수구레 전골, 볶음, 모듬구이 등 수구레 메뉴가 부드럽고 쫄깃하며 냄새 없이 맛있다는 평가가 많고, 볶음밥을 마무리로 추천하는 리뷰가 많습니다. 직원과 사장님이 친절하다는 언급이 반복되며, 술안주나 반주, 재방문·포장 목적으로 찾는 손님도 많습니다.",수구레 전골 | 수구레 볶음 | 수구레모듬구이 | 볶음밥 | 곱창구이 | 수육 | 볶음국수,"술 한잔이나 반주하기 좋고, 여자친구·가족·지인과 방문했다는 리뷰가 있으며 좌석이 많지 않고 테이블이 좁다는 언급이 있습니다.",공영주차장이 가까워 편리하다는 리뷰가 있습니다.,"웨이팅이 있지만 회전이 빠른 편이라는 언급이 있고, 초저녁부터 웨이팅이 있으며 늘 줄 서거나 만석인 것 같다는 리뷰가 있습니다.",29.45,True
kakao_1687006483,"대체로 맛있고 양이 푸짐하다는 평가가 많으며, 사장님이 친절하다는 언급도 있습니다. 다만 배달 시간 요청이 잘 반영되지 않아 음식이 식거나 불었다는 아쉬운 리뷰가 있습니다.",돼지게티 | 막창 | 막창돼지게티 | 스파게티,,,,38.47,True
kakao_24583309,"신전떡볶이 특유의 매콤한 맛과 치즈떡볶이, 튀김, 컵밥을 맛있게 먹었다는 리뷰가 많고 포장 이용도 자주 언급됩니다. 다만 가격이 비싸졌다는 의견과 매장이 좁고 일부 포장 대기나 음식 상태에 대한 아쉬움도 있습니다.",치즈떡볶이 | 신전떡볶이 | 로제떡볶이 | 참치김치 컵밥 | 참치마요컵밥 | 오뎅튀김 | 오징어튀김 | 튀김 | 김밥 | 쿨피스,"매장은 4테이블 정도로 굉장히 좁고 자리가 협소하며, 문이 열릴 때마다 바람이 들어와 춥다는 리뷰가 있습니다.",,"주문 후 많이 기다리지 않고 바로 가져왔다는 리뷰가 있는 반면, 포장에 30분 기다렸거나 떡볶이 하나 나오는 데 오래 걸렸다는 리뷰도 있습니다.",33.22,True
kakao_2064565238,"마라탕을 최애로 꼽는 재방문 리뷰가 많고, 향신료가 과하지 않으면서 땅콩소스의 고소함과 진한 사골육수가 좋다는 평가가 많습니다. 재료 신선도와 푸짐한 양, 친절한 서비스, 무료 밥 제공이 장점으로 언급되며 꿔바로우와 마라샹궈도 함께 호평이 있습니다.",마라탕 | 백탕 | 마파두부 | 마라샹궈 | 꿔바로우,"매장이 나름 넓고 청결하며 큰자리도 있고, 점심시간대에는 학생들이 많고 항상 사람 많고 복작복작하다는 언급이 있습니다.",근처에 공용 주차장이 있어 편하게 이용할 수 있다는 언급이 있습니다.,,31.26,True
kakao_1665003130,"족발과 보쌈이 잡내 없이 부드럽고 쫄깃하다는 평이 많으며, 한상차림 구성과 다양한 반찬·소스 덕분에 푸짐하게 먹기 좋다는 리뷰가 많습니다. 직원 친절, 합리적인 가격과 주류 할인 언급, 가족·친구와 재방문하고 싶다는 의견도 자주 보입니다.",족발한상 | 한상족발 | 완미보쌈 한상 | 반반족발 | 반반메뉴 | 막국수 | 계란찜 | 날치알왕주먹밥 | 매운족발 | 남도식 한상 족발,"매장이 크진 않지만 깨끗하고 깔끔하다는 언급이 있으며, 가족이나 아이와 함께 식사하기 좋고 친구들과 방문하기 좋다는 리뷰가 있습니다.",,,30.38,True
kakao_765114919,"성균관대역 근처 텐동 맛집으로, 갓 튀긴 바삭한 튀김과 푸짐한 양, 다양한 텐동 메뉴가 좋다는 리뷰가 많습니다. 느끼하지 않은 매콤한 메뉴와 오차즈케, 밥 리필이 언급되며 혼밥이나 데이트로 재방문하는 손님도 많고 매장이 깔끔하다는 평가가 있습니다.",텐동 | 치즈니쿠텐동 | 매콤토리텐동 | 에비텐동 | 매콤새우텐동 | 매콤텐동 | 오차즈케,"일본풍 인테리어와 아기자기하고 아늑한 분위기가 언급되며, 매장이 깔끔하고 데이트와 혼밥에 좋다는 리뷰가 있습니다.",,"지난번에는 대기가 있어 못 먹었다는 리뷰가 있고, 다른 방문에서는 저녁 6시쯤 바로 입장 가능했다는 언급이 있습니다.",25.36,True
